symbol,description,rsi_period,bands,upper,lower,avg_daily_vol,return,bh_return,outperformance,max_dd,sharpe,trades,profitable
SPY,S&P 500 ETF,14,Standard (55/45),55,45,1.0976347765987169,4.385943869736893,27.52327471553097,-23.137330845794075,-14.635864525654005,0.3140866684020976,22,True
SPY,S&P 500 ETF,14,Wide (58/42),58,42,1.0976347765987169,0.8663024650775878,27.52327471553097,-26.656972250453382,-15.007938216527547,0.10477314951371473,18,True
SPY,S&P 500 ETF,14,Very Wide (60/40),60,40,1.0976347765987169,4.4304397506995885,27.52327471553097,-23.092834964831383,-11.85562558597412,0.3399585708570323,16,True
SPY,S&P 500 ETF,14,Ultra Wide (65/35),65,35,1.0976347765987169,17.898436501820616,27.52327471553097,-9.624838213710355,-7.55174069808625,1.0921847903790878,10,True
SPY,S&P 500 ETF,21,Standard (55/45),55,45,1.0976347765987169,21.120428526405394,27.52327471553097,-6.402846189125576,-8.375850438281807,1.2077945524804121,8,True
SPY,S&P 500 ETF,21,Wide (58/42),58,42,1.0976347765987169,24.751415799345157,27.52327471553097,-2.7718589161858134,-9.339148472383785,1.365391357846608,6,True
SPY,S&P 500 ETF,21,Very Wide (60/40),60,40,1.0976347765987169,18.651664338779863,27.52327471553097,-8.871610376751107,-11.979670151833655,1.0377511444766374,6,True
SPY,S&P 500 ETF,21,Ultra Wide (65/35),65,35,1.0976347765987169,19.55870547773724,27.52327471553097,-7.964569237793729,-10.19354203185453,1.0261834187927203,4,True
SPY,S&P 500 ETF,28,Standard (55/45),55,45,1.0976347765987169,13.018404101849137,27.52327471553097,-14.504870613681833,-9.138488625439537,0.7990037152642663,8,True
SPY,S&P 500 ETF,28,Wide (58/42),58,42,1.0976347765987169,11.518495939652567,27.52327471553097,-16.004778775878403,-10.344344641751734,0.7136557211549134,6,True
SPY,S&P 500 ETF,28,Very Wide (60/40),60,40,1.0976347765987169,10.369700389455211,27.52327471553097,-17.15357432607576,-11.267922538474053,0.6485862581173585,6,True
SPY,S&P 500 ETF,28,Ultra Wide (65/35),65,35,1.0976347765987169,21.03319354782265,27.52327471553097,-6.490081167708322,-10.326272658791465,1.073504959175642,2,True
QQQ,Nasdaq 100 ETF,14,Standard (55/45),55,45,1.3900227111818368,3.8672938983252787,30.665401244331786,-26.798107346006507,-17.231170847772926,0.2440038394894007,22,True
QQQ,Nasdaq 100 ETF,14,Wide (58/42),58,42,1.3900227111818368,-0.7528122742909545,30.665401244331786,-31.41821351862274,-17.023882151868698,0.029059609449577813,20,False
QQQ,Nasdaq 100 ETF,14,Very Wide (60/40),60,40,1.3900227111818368,3.6331177248198947,30.665401244331786,-27.032283519511893,-13.159792033985271,0.23636661747473192,18,True
QQQ,Nasdaq 100 ETF,14,Ultra Wide (65/35),65,35,1.3900227111818368,17.772565788500433,30.665401244331786,-12.892835455831353,-13.316853475283558,0.782894101673933,10,True
QQQ,Nasdaq 100 ETF,21,Standard (55/45),55,45,1.3900227111818368,20.949818910267023,30.665401244331786,-9.715582334064763,-11.701401134389295,0.9394106070462879,11,True
QQQ,Nasdaq 100 ETF,21,Wide (58/42),58,42,1.3900227111818368,24.85017347269968,30.665401244331786,-5.815227771632106,-14.854419872981397,1.022677333321541,6,True
QQQ,Nasdaq 100 ETF,21,Very Wide (60/40),60,40,1.3900227111818368,29.11567058477214,30.665401244331786,-1.5497306595596463,-11.27010168913193,1.2027581533717304,6,True
QQQ,Nasdaq 100 ETF,21,Ultra Wide (65/35),65,35,1.3900227111818368,21.946538414984644,30.665401244331786,-8.718862829347142,-11.76070531333398,0.9030079909506323,4,True
QQQ,Nasdaq 100 ETF,28,Standard (55/45),55,45,1.3900227111818368,22.616588750577975,30.665401244331786,-8.048812493753811,-9.255504058609851,0.9961909520223944,8,True
QQQ,Nasdaq 100 ETF,28,Wide (58/42),58,42,1.3900227111818368,22.129131813089987,30.665401244331786,-8.536269431241799,-9.575986157296468,0.9558615461228908,4,True
QQQ,Nasdaq 100 ETF,28,Very Wide (60/40),60,40,1.3900227111818368,20.08868745787384,30.665401244331786,-10.576713786457947,-9.848606565979537,0.878892699231715,4,True
QQQ,Nasdaq 100 ETF,28,Ultra Wide (65/35),65,35,1.3900227111818368,18.92258481879706,30.665401244331786,-11.742816425534727,-14.094950068078619,0.741842970160912,2,True
IWM,Russell 2000 ETF,14,Standard (55/45),55,45,1.4143176854611572,-1.224741820637737,29.19202827410161,-30.416770094739345,-21.98834435911225,0.027037679268018592,26,False
IWM,Russell 2000 ETF,14,Wide (58/42),58,42,1.4143176854611572,-1.382870913532097,29.19202827410161,-30.574899187633708,-19.732086610671672,0.011618819418951619,22,False
IWM,Russell 2000 ETF,14,Very Wide (60/40),60,40,1.4143176854611572,0.94398183330537,29.19202827410161,-28.24804644079624,-17.952860025699604,0.11499368406469541,20,True
IWM,Russell 2000 ETF,14,Ultra Wide (65/35),65,35,1.4143176854611572,19.120552918589674,29.19202827410161,-10.071475355511936,-15.097349861904663,0.741922123865154,10,True
IWM,Russell 2000 ETF,21,Standard (55/45),55,45,1.4143176854611572,15.648426564344554,29.19202827410161,-13.543601709757056,-11.532739321920966,0.6353901036232084,12,True
IWM,Russell 2000 ETF,21,Wide (58/42),58,42,1.4143176854611572,22.409046826049053,29.19202827410161,-6.782981448052556,-10.785476188718112,0.8484656555892154,10,True
IWM,Russell 2000 ETF,21,Very Wide (60/40),60,40,1.4143176854611572,16.43652977707321,29.19202827410161,-12.755498497028398,-13.910974182792287,0.6554858116957779,10,True
