window,train_start,train_end,test_start,test_end,param_rsi_oversold,param_rsi_overbought,param_profit_target_pct,param_time_exit_dte,param_stop_loss_pct,oos_total_return,oos_sharpe,oos_win_rate,oos_num_trades,oos_avg_win,oos_avg_loss
W1,2020-01-01,2020-06-30,2020-07-01,2020-12-31,25,75,60,28,-100,85.63073510775985,0.0,100.0,1,61.275472497905966,0.0
W2,2020-07-01,2020-12-31,2021-01-01,2021-06-30,35,75,70,14,-100,62.8397474187818,0.0,100.0,1,10.870025574813567,0.0
W3,2021-01-01,2021-06-30,2021-07-01,2021-12-31,25,65,50,14,-100,250.92604888594593,0.5439447891672705,75.0,4,37.13516284000071,-56.53948998632403
W4,2021-07-01,2021-12-31,2022-01-01,2022-06-30,30,75,70,14,-100,252.3785611656944,-0.19261060833301852,50.0,4,75.74005050814965,-95.75805432312256
W5,2022-01-01,2022-06-30,2022-07-01,2022-12-31,25,65,70,14,-100,287.8972556682784,0.6790490938828649,75.0,4,79.68710581973556,-110.11925862134842
W6,2022-07-01,2022-12-31,2023-01-01,2023-06-30,30,70,50,14,-100,139.2856831986305,0.0,100.0,1,51.03212688162443,0.0
W7,2023-01-01,2023-06-30,2023-07-01,2023-12-31,35,70,70,14,-100,370.9690301623341,0.6380589735991773,60.0,5,55.555953616413774,-41.309338187722524
W8,2023-07-01,2023-12-31,2024-01-01,2024-06-30,35,70,70,21,-100,305.858648976291,0.6982792536017792,75.0,4,31.119279600708484,-33.343030732391576
W9,2024-01-01,2024-06-30,2024-07-01,2024-12-31,30,65,70,14,-100,411.6223792944851,1.629530232022606,60.0,5,52.030316146564964,-1.383869011328379
W10,2024-07-01,2024-12-31,2025-01-01,2025-06-30,30,75,50,14,-100,154.563546355402,-0.483322614485716,50.0,4,74.04730605073607,-132.41466860358187
