timeframe,feature,ic,p_value,bars
1Min,rsi_14,-0.006589463826901648,0.20194402576087844,37501
1Min,volume_zscore,0.0068309238165127975,0.185904663541021,37501
1Min,log_return,-0.008805062369566356,0.0881772780037893,37501
5Min,rsi_14,-0.0073022906859669025,0.5254330301834401,7564
5Min,volume_zscore,-0.002323061597851374,0.8399116622223275,7564
5Min,log_return,0.006486874267218401,0.5726967485847727,7564
15Min,rsi_14,-0.06461685388189672,0.00122945037375147,2499
15Min,volume_zscore,-0.016409184044570792,0.4122503759094074,2499
15Min,log_return,-0.009978554388077997,0.6180677124879345,2499
1Hour,rsi_14,-0.24346250961808225,1.519300205973555e-09,600
1Hour,volume_zscore,0.03752182644951791,0.35888080489673846,600
1Hour,log_return,-0.05192464423512287,0.20405135785077338,600
